Model,MSE,RMSE,MAE,R²
Persistence,2426.7572802275718,49.26212825515734,33.511533509904325,0.8731646154948202
ARIMA,2370.0099901689105,48.68274838347678,32.75355104253697,0.8761305340120368
LSTM,4821.352542001373,69.43596000633514,52.249046332795054,0.748010191014066
FB-Prophet,18851.523568891276,137.30085057599342,111.70497261405075,0.014718010799760206
